Voltage control
Voltage is set directly according to setter.

Constant setpoint
Value (V)
0

Stop buffer (mm), Syringe diameter (mm)
5,20.5

Time (ms),Force (N),Flowrate (ml/s),Control action (8 bit),Loadcell (24 bit),Ticks (rotations)
27604,-3.56224,0.00000,0,-123851,1
27695,-3.56288,0.00000,0,-123873,1
27785,-3.56175,0.00000,0,-123834,1
27876,-3.56087,0.00000,0,-123804,1
27967,-3.56026,0.00000,0,-123783,1
28058,-3.56152,0.00000,0,-123826,1
28150,-3.56291,0.00000,0,-123874,1
28240,-3.56277,0.00000,0,-123869,1
28331,-3.56143,0.00000,0,-123823,1
28422,-3.56283,0.00000,0,-123871,1
28513,-3.56163,0.00000,0,-123830,1
28603,-3.56213,0.00000,0,-123847,1
28694,-3.56079,0.00000,0,-123801,1
28786,-3.56047,0.00000,0,-123790,1
28877,-3.56172,0.00000,0,-123833,1
28968,-3.56009,0.00000,0,-123777,1
29058,-3.56073,0.00000,0,-123799,1
29149,-3.56114,0.00000,0,-123813,1
29240,-3.56268,0.00000,0,-123866,1
29331,-3.56259,0.00000,0,-123863,1
29422,-3.56344,0.00000,0,-123892,1
29513,-3.56326,0.00000,0,-123886,1
29604,-3.56221,0.00000,0,-123850,1
29695,-3.56099,0.00000,0,-123808,1
29786,-3.56119,0.00000,0,-123815,1
29877,-3.56114,0.00000,0,-123813,1
29967,-3.56213,0.00000,0,-123847,1
30058,-3.56169,0.00000,0,-123832,1
30149,-3.56230,0.00000,0,-123853,1
30241,-3.56154,0.00000,0,-123827,1
30331,-3.56251,0.00000,0,-123860,1
30422,-3.56402,0.00000,0,-123912,1
30513,-3.56157,0.00000,0,-123828,1
30604,-3.56096,0.00000,0,-123807,1
30695,-3.56160,0.00000,0,-123829,1
30785,-3.55997,0.00000,0,-123773,1
30877,-3.56052,0.00000,0,-123792,1
30968,-3.56134,0.00000,0,-123820,1
31059,-3.56271,0.00000,0,-123867,1
31150,-3.56195,0.00000,0,-123841,1
31240,-3.56099,0.00000,0,-123808,1
31331,-3.56253,0.00000,0,-123861,1
31422,-3.56361,0.00000,0,-123898,1
31513,-3.56186,0.00000,0,-123838,1
31605,-3.56149,0.00000,0,-123825,1
31695,-3.56157,0.00000,0,-123828,1
31786,-3.56152,0.00000,0,-123826,1
31877,-3.56242,0.00000,0,-123857,1
31968,-3.56184,0.00000,0,-123837,1
32059,-3.56137,0.00000,0,-123821,1
32149,-3.56204,0.00000,0,-123844,1
32241,-3.56064,0.00000,0,-123796,1
32332,-3.55991,0.00000,0,-123771,1
32423,-3.56178,0.00000,0,-123835,1
32514,-3.56323,0.00000,0,-123885,1
32604,-3.56262,0.00000,0,-123864,1
32695,-3.56172,0.00000,0,-123833,1
32786,-3.56015,0.00000,0,-123779,1
32877,-3.55965,0.00000,0,-123762,1
32968,-3.56038,0.00000,0,-123787,1
33059,-3.56085,0.00000,0,-123803,1
33150,-3.56117,0.00000,0,-123814,1
33241,-3.56067,0.00000,0,-123797,1
33332,-3.56029,0.00000,0,-123784,1
33422,-3.56082,0.00000,0,-123802,1
33513,-3.56207,0.00000,0,-123845,1
33604,-3.56169,0.00000,0,-123832,1
33696,-3.55968,0.00000,0,-123763,1
33787,-3.56018,0.00000,0,-123780,1
33877,-3.56166,0.00000,0,-123831,1
33968,-3.56181,0.00000,0,-123836,1
34059,-3.56157,0.00000,0,-123828,1
34150,-3.55977,0.00000,0,-123766,1
34241,-3.55822,0.00000,0,-123713,1
34332,-3.55901,0.00000,0,-123740,1
34423,-3.55866,0.00000,0,-123728,1
34514,-3.55878,0.00000,0,-123732,1
34605,-3.55971,0.00000,0,-123764,1
34695,-3.56125,0.00000,0,-123817,1
34786,-3.56041,0.00000,0,-123788,1
34877,-3.56160,0.00000,0,-123829,1
34968,-3.56213,0.00000,0,-123847,1
35060,-3.56061,0.00000,0,-123795,1
35150,-3.55974,0.00000,0,-123765,1
35241,-3.55863,0.00000,0,-123727,1
35332,-3.55837,0.00000,0,-123718,1
35423,-3.56082,0.00000,0,-123802,1
35514,-3.56192,0.00000,0,-123840,1
35604,-3.56114,0.00000,0,-123813,1
35695,-3.56102,0.00000,0,-123809,1
35787,-3.55988,0.00000,0,-123770,1
35878,-3.55965,0.00000,0,-123762,1
35969,-3.55988,0.00000,0,-123770,1
36059,-3.55994,0.00000,0,-123772,1
36150,-3.56082,0.00000,0,-123802,1
36241,-3.55994,0.00000,0,-123772,1
36332,-3.55919,0.00000,0,-123746,1
36424,-3.55939,0.00000,0,-123753,1
36514,-3.55834,0.00000,0,-123717,1
36605,-3.55819,0.00000,0,-123712,1
36696,-3.55933,0.00000,0,-123751,1
36787,-3.56029,0.00000,0,-123784,1
36877,-3.55892,0.00000,0,-123737,1
36968,-3.55889,0.00000,0,-123736,1
37059,-3.56114,0.00000,0,-123813,1
37151,-3.56055,0.00000,0,-123793,1
37242,-3.55846,0.00000,0,-123721,1
37332,-3.55971,0.00000,0,-123764,1
37423,-3.55852,0.00000,0,-123723,1
37514,-3.55907,0.00000,0,-123742,1
37605,-3.55767,0.00000,0,-123694,1
37696,-3.55907,0.00000,0,-123742,1
37786,-3.56085,0.00000,0,-123803,1
37878,-3.56073,0.00000,0,-123799,1
37969,-3.56073,0.00000,0,-123799,1
38060,-3.56125,0.00000,0,-123817,1
38151,-3.56029,0.00000,0,-123784,1
38241,-3.56070,0.00000,0,-123798,1
38332,-3.56143,0.00000,0,-123823,1
38423,-3.56035,0.00000,0,-123786,1
38515,-3.55872,0.00000,0,-123730,1
38606,-3.55849,0.00000,0,-123722,1
38696,-3.55895,0.00000,0,-123738,1
38787,-3.56079,0.00000,0,-123801,1
38878,-3.55980,0.00000,0,-123767,1
38969,-3.55956,0.00000,0,-123759,1
39060,-3.56035,0.00000,0,-123786,1
39150,-3.56012,0.00000,0,-123778,1
39242,-3.56006,0.00000,0,-123776,1
39333,-3.55942,0.00000,0,-123754,1
39424,-3.55968,0.00000,0,-123763,1
39515,-3.56012,0.00000,0,-123778,1
39605,-3.56026,0.00000,0,-123783,1
39696,-3.55933,0.00000,0,-123751,1
39787,-3.55991,0.00000,0,-123771,1
39879,-3.56099,0.00000,0,-123808,1
39970,-3.56050,0.00000,0,-123791,1
40060,-3.55924,0.00000,0,-123748,1
